CustomerID,GeoID,Segment,FirstOrderDate,Region,Country,CountryCode,SignupCohort
1,2,Consumer,2024-10-18,Americas,Canada,CA,2024-10-18
2,9,Consumer,2025-04-07,APAC,Australia,AU,2025-04-07
3,6,Enterprise,2023-10-27,EMEA,France,FR,2023-10-27
4,4,Consumer,2023-03-03,EMEA,Germany,DE,2023-03-03
5,1,Consumer,2023-04-15,Americas,United States,US,2023-04-15
6,1,SMB,2024-08-22,Americas,United States,US,2024-08-22
7,1,SMB,2024-03-09,Americas,United States,US,2024-03-09
8,7,Consumer,2023-11-24,EMEA,Spain,ES,2023-11-24
9,4,Consumer,2022-11-04,EMEA,Germany,DE,2022-11-04
10,5,Consumer,2025-03-30,EMEA,United Kingdom,GB,2025-03-30
11,1,Consumer,2024-12-02,Americas,United States,US,2024-12-02
12,9,SMB,2022-08-06,APAC,Australia,AU,2022-08-06
13,7,SMB,2023-06-21,EMEA,Spain,ES,2023-06-21
14,1,SMB,2024-02-01,Americas,United States,US,2024-02-01
15,1,Consumer,2023-10-15,Americas,United States,US,2023-10-15
16,1,SMB,2023-07-31,Americas,United States,US,2023-07-31
17,1,Consumer,2024-09-19,Americas,United States,US,2024-09-19
18,4,Consumer,2022-04-03,EMEA,Germany,DE,2022-04-03
19,3,Consumer,2023-11-06,Americas,Brazil,BR,2023-11-06
20,1,Consumer,2023-01-18,Americas,United States,US,2023-01-18
21,4,Enterprise,2022-05-19,EMEA,Germany,DE,2022-05-19
22,1,Consumer,2023-10-29,Americas,United States,US,2023-10-29
23,1,Consumer,2022-09-20,Americas,United States,US,2022-09-20
24,2,Consumer,2023-01-11,Americas,Canada,CA,2023-01-11
25,3,SMB,2023-12-16,Americas,Brazil,BR,2023-12-16
26,6,Consumer,2025-07-26,EMEA,France,FR,2025-07-26
27,1,Consumer,2024-08-06,Americas,United States,US,2024-08-06
28,4,SMB,2023-02-15,EMEA,Germany,DE,2023-02-15
29,4,Consumer,2023-07-11,EMEA,Germany,DE,2023-07-11
30,1,Consumer,2023-08-11,Americas,United States,US,2023-08-11
31,4,Consumer,2022-08-24,EMEA,Germany,DE,2022-08-24
32,1,Consumer,2022-09-03,Americas,United States,US,2022-09-03
33,1,Enterprise,2022-08-17,Americas,United States,US,2022-08-17
34,9,Consumer,2023-12-31,APAC,Australia,AU,2023-12-31
35,9,Enterprise,2024-07-25,APAC,Australia,AU,2024-07-25
36,6,Consumer,2024-04-10,EMEA,France,FR,2024-04-10
37,1,Enterprise,2025-07-31,Americas,United States,US,2025-07-31
38,1,Consumer,2022-07-17,Americas,United States,US,2022-07-17
39,5,Consumer,2025-08-10,EMEA,United Kingdom,GB,2025-08-10
40,3,Consumer,2023-11-01,Americas,Brazil,BR,2023-11-01
41,1,Consumer,2022-11-24,Americas,United States,US,2022-11-24
42,3,Consumer,2025-06-22,Americas,Brazil,BR,2025-06-22
43,1,Consumer,2023-11-03,Americas,United States,US,2023-11-03
44,8,Consumer,2023-05-25,APAC,India,IN,2023-05-25
45,1,Consumer,2022-11-18,Americas,United States,US,2022-11-18
46,5,Consumer,2023-01-27,EMEA,United Kingdom,GB,2023-01-27
47,1,Consumer,2025-08-02,Americas,United States,US,2025-08-02
48,4,SMB,2023-03-24,EMEA,Germany,DE,2023-03-24
49,4,Consumer,2025-07-31,EMEA,Germany,DE,2025-07-31
50,1,SMB,2023-05-01,Americas,United States,US,2023-05-01
51,9,Consumer,2022-12-09,APAC,Australia,AU,2022-12-09
52,6,Enterprise,2022-10-08,EMEA,France,FR,2022-10-08
53,8,Consumer,2023-08-18,APAC,India,IN,2023-08-18
54,8,Enterprise,2022-12-15,APAC,India,IN,2022-12-15
55,4,Consumer,2024-08-22,EMEA,Germany,DE,2024-08-22
56,8,SMB,2022-12-18,APAC,India,IN,2022-12-18
57,1,SMB,2025-02-05,Americas,United States,US,2025-02-05
58,1,Consumer,2025-02-03,Americas,United States,US,2025-02-03
59,1,Consumer,2023-02-25,Americas,United States,US,2023-02-25
60,1,SMB,2024-11-02,Americas,United States,US,2024-11-02
61,2,Consumer,2025-03-07,Americas,Canada,CA,2025-03-07
62,1,Consumer,2024-04-09,Americas,United States,US,2024-04-09
63,7,Consumer,2023-06-20,EMEA,Spain,ES,2023-06-20
64,2,Consumer,2023-09-27,Americas,Canada,CA,2023-09-27
65,1,SMB,2024-12-07,Americas,United States,US,2024-12-07
66,4,Consumer,2023-03-09,EMEA,Germany,DE,2023-03-09
67,1,Consumer,2023-05-07,Americas,United States,US,2023-05-07
68,6,Consumer,2022-09-04,EMEA,France,FR,2022-09-04
69,1,Consumer,2023-08-01,Americas,United States,US,2023-08-01
70,10,Enterprise,2022-05-21,APAC,Japan,JP,2022-05-21
71,6,Consumer,2023-04-18,EMEA,France,FR,2023-04-18
72,1,Consumer,2023-06-29,Americas,United States,US,2023-06-29
73,1,Consumer,2023-01-07,Americas,United States,US,2023-01-07
74,6,SMB,2022-06-12,EMEA,France,FR,2022-06-12
75,5,Consumer,2023-12-31,EMEA,United Kingdom,GB,2023-12-31
76,6,Consumer,2025-03-17,EMEA,France,FR,2025-03-17
77,6,Consumer,2023-05-09,EMEA,France,FR,2023-05-09
78,1,Consumer,2022-12-15,Americas,United States,US,2022-12-15
79,2,Consumer,2023-02-24,Americas,Canada,CA,2023-02-24
80,1,Consumer,2025-03-13,Americas,United States,US,2025-03-13
81,7,SMB,2024-01-10,EMEA,Spain,ES,2024-01-10
82,5,SMB,2022-07-24,EMEA,United Kingdom,GB,2022-07-24
83,1,SMB,2024-09-06,Americas,United States,US,2024-09-06
84,1,Consumer,2022-08-25,Americas,United States,US,2022-08-25
85,1,Consumer,2022-04-11,Americas,United States,US,2022-04-11
86,1,Consumer,2023-01-07,Americas,United States,US,2023-01-07
87,6,SMB,2022-09-15,EMEA,France,FR,2022-09-15
88,5,Consumer,2024-04-29,EMEA,United Kingdom,GB,2024-04-29
89,7,SMB,2023-11-22,EMEA,Spain,ES,2023-11-22
90,3,Consumer,2024-09-26,Americas,Brazil,BR,2024-09-26
91,1,SMB,2023-12-21,Americas,United States,US,2023-12-21
92,5,Consumer,2023-08-27,EMEA,United Kingdom,GB,2023-08-27
93,6,Consumer,2024-01-07,EMEA,France,FR,2024-01-07
94,4,Consumer,2023-09-18,EMEA,Germany,DE,2023-09-18
95,6,SMB,2022-03-06,EMEA,France,FR,2022-03-06
96,3,SMB,2024-08-02,Americas,Brazil,BR,2024-08-02
97,4,SMB,2025-07-13,EMEA,Germany,DE,2025-07-13
98,2,Consumer,2023-08-31,Americas,Canada,CA,2023-08-31
99,1,SMB,2023-09-03,Americas,United States,US,2023-09-03
100,1,Consumer,2022-03-20,Americas,United States,US,2022-03-20
101,1,Consumer,2025-04-18,Americas,United States,US,2025-04-18
102,5,Consumer,2025-06-05,EMEA,United Kingdom,GB,2025-06-05
103,1,Consumer,2025-01-04,Americas,United States,US,2025-01-04
104,4,Consumer,2022-06-19,EMEA,Germany,DE,2022-06-19
105,8,SMB,2025-05-01,APAC,India,IN,2025-05-01
106,1,Consumer,2022-02-12,Americas,United States,US,2022-02-12
107,2,Consumer,2023-10-02,Americas,Canada,CA,2023-10-02
108,6,Consumer,2023-12-09,EMEA,France,FR,2023-12-09
109,1,Consumer,2025-02-03,Americas,United States,US,2025-02-03
110,1,Consumer,2024-10-30,Americas,United States,US,2024-10-30
111,1,Consumer,2024-12-18,Americas,United States,US,2024-12-18
112,1,Consumer,2025-03-21,Americas,United States,US,2025-03-21
113,8,Consumer,2023-11-12,APAC,India,IN,2023-11-12
114,6,Consumer,2024-12-01,EMEA,France,FR,2024-12-01
115,5,Consumer,2022-04-24,EMEA,United Kingdom,GB,2022-04-24
116,7,Consumer,2023-10-02,EMEA,Spain,ES,2023-10-02
117,6,Consumer,2022-02-23,EMEA,France,FR,2022-02-23
118,1,Consumer,2025-05-19,Americas,United States,US,2025-05-19
119,8,Consumer,2025-07-09,APAC,India,IN,2025-07-09
120,4,Consumer,2022-05-18,EMEA,Germany,DE,2022-05-18
121,6,Consumer,2024-01-17,EMEA,France,FR,2024-01-17
122,8,Consumer,2023-04-24,APAC,India,IN,2023-04-24
123,1,SMB,2023-05-18,Americas,United States,US,2023-05-18
124,1,Consumer,2023-10-10,Americas,United States,US,2023-10-10
125,1,SMB,2022-07-16,Americas,United States,US,2022-07-16
126,2,SMB,2022-10-04,Americas,Canada,CA,2022-10-04
127,6,SMB,2024-03-23,EMEA,France,FR,2024-03-23
128,7,Consumer,2022-02-03,EMEA,Spain,ES,2022-02-03
129,1,SMB,2024-04-22,Americas,United States,US,2024-04-22
130,4,Consumer,2023-04-15,EMEA,Germany,DE,2023-04-15
131,2,Consumer,2025-01-31,Americas,Canada,CA,2025-01-31
132,1,Consumer,2024-04-22,Americas,United States,US,2024-04-22
133,1,SMB,2024-09-05,Americas,United States,US,2024-09-05
134,1,Consumer,2022-07-01,Americas,United States,US,2022-07-01
135,9,SMB,2023-01-24,APAC,Australia,AU,2023-01-24
136,1,Consumer,2025-08-22,Americas,United States,US,2025-08-22
137,4,SMB,2023-09-17,EMEA,Germany,DE,2023-09-17
138,5,SMB,2023-06-10,EMEA,United Kingdom,GB,2023-06-10
139,2,SMB,2025-03-29,Americas,Canada,CA,2025-03-29
140,9,Consumer,2022-02-28,APAC,Australia,AU,2022-02-28
141,9,SMB,2024-01-20,APAC,Australia,AU,2024-01-20
142,1,Enterprise,2022-11-13,Americas,United States,US,2022-11-13
143,3,Consumer,2023-06-22,Americas,Brazil,BR,2023-06-22
144,1,Consumer,2022-10-31,Americas,United States,US,2022-10-31
145,1,SMB,2022-03-07,Americas,United States,US,2022-03-07
146,1,Consumer,2023-08-24,Americas,United States,US,2023-08-24
147,4,SMB,2024-12-10,EMEA,Germany,DE,2024-12-10
148,4,Consumer,2025-07-02,EMEA,Germany,DE,2025-07-02
149,1,Consumer,2024-05-24,Americas,United States,US,2024-05-24
150,1,Consumer,2023-07-19,Americas,United States,US,2023-07-19
151,8,Consumer,2024-11-20,APAC,India,IN,2024-11-20
152,1,Consumer,2023-12-14,Americas,United States,US,2023-12-14
153,1,SMB,2023-06-22,Americas,United States,US,2023-06-22
154,3,Consumer,2022-10-02,Americas,Brazil,BR,2022-10-02
155,10,SMB,2024-12-17,APAC,Japan,JP,2024-12-17
156,1,SMB,2023-12-09,Americas,United States,US,2023-12-09
157,5,Consumer,2025-07-15,EMEA,United Kingdom,GB,2025-07-15
158,6,Consumer,2024-12-22,EMEA,France,FR,2024-12-22
159,1,Consumer,2023-08-29,Americas,United States,US,2023-08-29
160,6,Consumer,2024-10-18,EMEA,France,FR,2024-10-18
161,2,Consumer,2023-10-14,Americas,Canada,CA,2023-10-14
162,5,Consumer,2022-05-11,EMEA,United Kingdom,GB,2022-05-11
163,5,Enterprise,2023-12-26,EMEA,United Kingdom,GB,2023-12-26
164,4,Consumer,2025-03-18,EMEA,Germany,DE,2025-03-18
165,1,Consumer,2025-03-05,Americas,United States,US,2025-03-05
166,7,Enterprise,2024-03-20,EMEA,Spain,ES,2024-03-20
167,1,SMB,2023-07-08,Americas,United States,US,2023-07-08
168,1,SMB,2022-01-18,Americas,United States,US,2022-01-18
169,1,SMB,2023-04-04,Americas,United States,US,2023-04-04
170,4,Consumer,2025-08-14,EMEA,Germany,DE,2025-08-14
171,5,SMB,2024-09-29,EMEA,United Kingdom,GB,2024-09-29
172,1,SMB,2024-09-18,Americas,United States,US,2024-09-18
173,4,Consumer,2024-11-10,EMEA,Germany,DE,2024-11-10
174,1,Consumer,2024-05-19,Americas,United States,US,2024-05-19
175,5,Consumer,2024-04-04,EMEA,United Kingdom,GB,2024-04-04
176,1,Consumer,2023-10-14,Americas,United States,US,2023-10-14
177,5,Consumer,2023-10-01,EMEA,United Kingdom,GB,2023-10-01
178,2,Consumer,2025-03-24,Americas,Canada,CA,2025-03-24
179,8,Consumer,2023-07-25,APAC,India,IN,2023-07-25
180,1,Consumer,2025-02-12,Americas,United States,US,2025-02-12
181,1,Consumer,2025-02-08,Americas,United States,US,2025-02-08
182,1,SMB,2024-11-21,Americas,United States,US,2024-11-21
183,8,Consumer,2022-03-07,APAC,India,IN,2022-03-07
184,7,Consumer,2022-08-16,EMEA,Spain,ES,2022-08-16
185,1,Consumer,2023-04-09,Americas,United States,US,2023-04-09
186,5,Consumer,2025-02-22,EMEA,United Kingdom,GB,2025-02-22
187,6,Consumer,2025-03-28,EMEA,France,FR,2025-03-28
188,4,Consumer,2022-03-13,EMEA,Germany,DE,2022-03-13
189,4,SMB,2023-04-23,EMEA,Germany,DE,2023-04-23
190,1,Consumer,2025-02-26,Americas,United States,US,2025-02-26
191,1,Consumer,2022-12-29,Americas,United States,US,2022-12-29
192,8,Consumer,2025-07-29,APAC,India,IN,2025-07-29
193,8,Consumer,2023-11-27,APAC,India,IN,2023-11-27
194,5,SMB,2025-06-15,EMEA,United Kingdom,GB,2025-06-15
195,1,Consumer,2023-09-10,Americas,United States,US,2023-09-10
196,1,SMB,2023-04-22,Americas,United States,US,2023-04-22
197,6,Consumer,2023-06-15,EMEA,France,FR,2023-06-15
198,8,SMB,2025-04-11,APAC,India,IN,2025-04-11
199,7,SMB,2023-05-02,EMEA,Spain,ES,2023-05-02
200,6,SMB,2024-07-19,EMEA,France,FR,2024-07-19
201,5,SMB,2023-11-05,EMEA,United Kingdom,GB,2023-11-05
202,1,Consumer,2025-06-20,Americas,United States,US,2025-06-20
203,1,SMB,2022-09-01,Americas,United States,US,2022-09-01
204,8,Consumer,2023-09-10,APAC,India,IN,2023-09-10
205,4,SMB,2022-07-15,EMEA,Germany,DE,2022-07-15
206,1,Consumer,2024-03-24,Americas,United States,US,2024-03-24
207,1,Consumer,2023-08-06,Americas,United States,US,2023-08-06
208,5,SMB,2022-04-13,EMEA,United Kingdom,GB,2022-04-13
209,1,Consumer,2025-02-25,Americas,United States,US,2025-02-25
210,1,Consumer,2023-07-02,Americas,United States,US,2023-07-02
211,4,SMB,2023-12-02,EMEA,Germany,DE,2023-12-02
212,5,Consumer,2023-08-12,EMEA,United Kingdom,GB,2023-08-12
213,5,Consumer,2023-11-26,EMEA,United Kingdom,GB,2023-11-26
214,1,Consumer,2022-01-30,Americas,United States,US,2022-01-30
215,5,Consumer,2025-01-07,EMEA,United Kingdom,GB,2025-01-07
216,1,Consumer,2023-05-04,Americas,United States,US,2023-05-04
217,1,Consumer,2024-09-27,Americas,United States,US,2024-09-27
218,6,Consumer,2022-04-19,EMEA,France,FR,2022-04-19
219,5,Consumer,2024-01-04,EMEA,United Kingdom,GB,2024-01-04
220,7,Consumer,2025-05-11,EMEA,Spain,ES,2025-05-11
221,5,SMB,2023-07-31,EMEA,United Kingdom,GB,2023-07-31
222,4,Consumer,2022-10-28,EMEA,Germany,DE,2022-10-28
223,1,SMB,2022-06-09,Americas,United States,US,2022-06-09
224,2,Consumer,2025-03-09,Americas,Canada,CA,2025-03-09
225,1,Consumer,2022-12-17,Americas,United States,US,2022-12-17
226,1,Consumer,2025-07-28,Americas,United States,US,2025-07-28
227,9,SMB,2022-12-27,APAC,Australia,AU,2022-12-27
228,2,SMB,2023-11-18,Americas,Canada,CA,2023-11-18
229,8,SMB,2023-10-20,APAC,India,IN,2023-10-20
230,5,Consumer,2022-04-14,EMEA,United Kingdom,GB,2022-04-14
231,6,SMB,2024-01-16,EMEA,France,FR,2024-01-16
232,4,Consumer,2024-07-23,EMEA,Germany,DE,2024-07-23
233,4,SMB,2024-10-19,EMEA,Germany,DE,2024-10-19
234,3,Consumer,2024-01-02,Americas,Brazil,BR,2024-01-02
235,1,Consumer,2025-01-03,Americas,United States,US,2025-01-03
236,6,Consumer,2024-11-01,EMEA,France,FR,2024-11-01
237,1,Consumer,2022-10-23,Americas,United States,US,2022-10-23
238,1,Consumer,2023-08-05,Americas,United States,US,2023-08-05
239,5,Consumer,2022-08-09,EMEA,United Kingdom,GB,2022-08-09
240,1,Consumer,2022-07-27,Americas,United States,US,2022-07-27
241,9,Enterprise,2024-09-10,APAC,Australia,AU,2024-09-10
242,9,Consumer,2024-01-14,APAC,Australia,AU,2024-01-14
243,8,SMB,2024-04-24,APAC,India,IN,2024-04-24
244,2,Enterprise,2024-10-07,Americas,Canada,CA,2024-10-07
245,1,SMB,2023-02-11,Americas,United States,US,2023-02-11
246,8,SMB,2023-08-04,APAC,India,IN,2023-08-04
247,2,SMB,2024-05-02,Americas,Canada,CA,2024-05-02
248,9,Consumer,2022-06-05,APAC,Australia,AU,2022-06-05
249,9,Consumer,2025-02-01,APAC,Australia,AU,2025-02-01
250,7,Consumer,2023-05-20,EMEA,Spain,ES,2023-05-20
251,1,Consumer,2024-07-07,Americas,United States,US,2024-07-07
252,2,Consumer,2025-08-20,Americas,Canada,CA,2025-08-20
253,7,Consumer,2023-11-11,EMEA,Spain,ES,2023-11-11
254,1,Consumer,2022-11-19,Americas,United States,US,2022-11-19
255,1,SMB,2022-11-21,Americas,United States,US,2022-11-21
256,4,Consumer,2022-04-12,EMEA,Germany,DE,2022-04-12
257,8,Consumer,2024-11-17,APAC,India,IN,2024-11-17
258,5,Consumer,2023-03-09,EMEA,United Kingdom,GB,2023-03-09
259,4,Consumer,2022-09-22,EMEA,Germany,DE,2022-09-22
260,1,Enterprise,2024-09-12,Americas,United States,US,2024-09-12
261,4,Consumer,2023-04-01,EMEA,Germany,DE,2023-04-01
262,10,Consumer,2024-04-23,APAC,Japan,JP,2024-04-23
263,1,Consumer,2023-08-26,Americas,United States,US,2023-08-26
264,4,Consumer,2023-05-07,EMEA,Germany,DE,2023-05-07
265,7,Consumer,2023-11-27,EMEA,Spain,ES,2023-11-27
266,6,Consumer,2023-04-08,EMEA,France,FR,2023-04-08
267,5,Consumer,2025-03-24,EMEA,United Kingdom,GB,2025-03-24
268,5,Consumer,2022-05-01,EMEA,United Kingdom,GB,2022-05-01
269,2,SMB,2022-02-23,Americas,Canada,CA,2022-02-23
270,1,Consumer,2023-08-11,Americas,United States,US,2023-08-11
271,6,Consumer,2022-09-22,EMEA,France,FR,2022-09-22
272,6,Consumer,2024-10-21,EMEA,France,FR,2024-10-21
273,7,Consumer,2023-06-03,EMEA,Spain,ES,2023-06-03
274,8,SMB,2023-01-17,APAC,India,IN,2023-01-17
275,4,Consumer,2023-06-10,EMEA,Germany,DE,2023-06-10
276,4,Enterprise,2022-11-25,EMEA,Germany,DE,2022-11-25
277,6,Consumer,2023-03-18,EMEA,France,FR,2023-03-18
278,5,SMB,2024-03-10,EMEA,United Kingdom,GB,2024-03-10
279,5,Consumer,2025-03-16,EMEA,United Kingdom,GB,2025-03-16
280,6,Consumer,2023-06-26,EMEA,France,FR,2023-06-26
281,8,Consumer,2023-04-18,APAC,India,IN,2023-04-18
282,1,Consumer,2024-12-03,Americas,United States,US,2024-12-03
283,2,Consumer,2022-02-09,Americas,Canada,CA,2022-02-09
284,1,Consumer,2023-03-22,Americas,United States,US,2023-03-22
