Date,DateKey,Year,Quarter,Month,MonthName,MonthIdx,Day,FiscalYear,FiscalQuarter,FiscalMonth,Weekday,IsWeekend,IsCurrentMonth,SeasonalityWeight,TrendWeight,DemandWeight
2022-01-01,20220101,2022,Q1,1,Jan,202201,1,2021,FQ4,10,Saturday,True,False,1.035,0.9,0.9315
2022-01-02,20220102,2022,Q1,1,Jan,202201,2,2021,FQ4,10,Sunday,True,False,1.035,0.9001876876876878,0.9316942567567568
2022-01-03,20220103,2022,Q1,1,Jan,202201,3,2021,FQ4,10,Monday,False,False,0.9,0.9003753753753754,0.8103378378378379
2022-01-04,20220104,2022,Q1,1,Jan,202201,4,2021,FQ4,10,Tuesday,False,False,0.9,0.9005630630630631,0.8105067567567568
2022-01-05,20220105,2022,Q1,1,Jan,202201,5,2021,FQ4,10,Wednesday,False,False,0.9,0.9007507507507507,0.8106756756756757
2022-01-06,20220106,2022,Q1,1,Jan,202201,6,2021,FQ4,10,Thursday,False,False,0.9,0.9009384384384385,0.8108445945945947
2022-01-07,20220107,2022,Q1,1,Jan,202201,7,2021,FQ4,10,Friday,False,False,0.9,0.9011261261261262,0.8110135135135136
2022-01-08,20220108,2022,Q1,1,Jan,202201,8,2021,FQ4,10,Saturday,True,False,1.035,0.9013138138138138,0.9328597972972972
2022-01-09,20220109,2022,Q1,1,Jan,202201,9,2021,FQ4,10,Sunday,True,False,1.035,0.9015015015015015,0.9330540540540541
2022-01-10,20220110,2022,Q1,1,Jan,202201,10,2021,FQ4,10,Monday,False,False,0.9,0.9016891891891892,0.8115202702702703
2022-01-11,20220111,2022,Q1,1,Jan,202201,11,2021,FQ4,10,Tuesday,False,False,0.9,0.9018768768768769,0.8116891891891892
2022-01-12,20220112,2022,Q1,1,Jan,202201,12,2021,FQ4,10,Wednesday,False,False,0.9,0.9020645645645646,0.8118581081081082
2022-01-13,20220113,2022,Q1,1,Jan,202201,13,2021,FQ4,10,Thursday,False,False,0.9,0.9022522522522523,0.812027027027027
2022-01-14,20220114,2022,Q1,1,Jan,202201,14,2021,FQ4,10,Friday,False,False,0.9,0.90243993993994,0.812195945945946
2022-01-15,20220115,2022,Q1,1,Jan,202201,15,2021,FQ4,10,Saturday,True,False,1.035,0.9026276276276276,0.9342195945945945
2022-01-16,20220116,2022,Q1,1,Jan,202201,16,2021,FQ4,10,Sunday,True,False,1.035,0.9028153153153153,0.9344138513513514
2022-01-17,20220117,2022,Q1,1,Jan,202201,17,2021,FQ4,10,Monday,False,False,0.9,0.9030030030030031,0.8127027027027027
2022-01-18,20220118,2022,Q1,1,Jan,202201,18,2021,FQ4,10,Tuesday,False,False,0.9,0.9031906906906907,0.8128716216216216
