SubscriptionID,CustomerID,StartDate,EndDate,Plan,IsTrial,MonthlyPrice
1,25921,2024-11-05,2025-04-04,Standard,False,30.0
2,22515,2025-04-26,,Premium,False,60.0
3,208,2025-05-04,2025-06-03,Basic,False,15.0
4,24773,2023-09-15,2024-06-14,Premium,True,60.0
5,29102,2025-01-16,,Premium,False,60.0
6,19259,2024-09-19,,Premium,True,60.0
7,13266,2022-04-30,2023-04-29,Standard,False,30.0
8,2599,2025-05-27,,Basic,False,15.0
9,17674,2024-02-02,2025-07-01,Basic,False,15.0
10,9177,2023-10-27,2024-12-26,Basic,True,15.0
11,17928,2024-04-04,2024-08-03,Standard,False,30.0
12,19765,2022-09-29,2023-04-28,Standard,False,30.0
13,1948,2022-09-02,2023-01-01,Basic,True,15.0
14,15127,2023-09-20,2025-04-19,Standard,True,30.0
15,27894,2024-03-18,2024-07-17,Standard,False,30.0
16,28225,2022-04-07,2022-11-06,Premium,False,60.0
17,10752,2022-05-19,2022-08-18,Basic,False,15.0
18,24588,2025-06-18,,Standard,False,30.0
19,29294,2023-06-07,2023-11-06,Standard,False,30.0
20,29986,2022-06-23,2022-10-22,Standard,True,30.0
21,16860,2022-08-17,2023-07-16,Basic,False,15.0
22,5706,2023-07-28,2023-09-27,Basic,False,15.0
23,20178,2025-02-22,,Standard,True,30.0
24,2699,2023-05-23,2024-02-22,Standard,True,30.0
25,19582,2024-10-10,,Standard,False,30.0
26,9565,2023-03-06,2023-12-05,Premium,True,60.0
27,719,2023-10-04,,Basic,True,15.0
28,27516,2022-12-25,2023-08-24,Basic,False,15.0
29,15893,2024-10-08,,Basic,False,15.0
30,7789,2024-12-08,,Basic,False,15.0
31,13697,2023-10-23,2024-07-22,Premium,True,60.0
32,20197,2024-09-16,2025-01-15,Basic,False,15.0
33,22447,2023-04-17,2023-12-16,Premium,False,60.0
34,16249,2023-10-22,2024-07-21,Standard,False,30.0
35,27109,2025-03-31,2025-07-30,Basic,False,15.0
36,21853,2022-03-21,2022-09-20,Standard,False,30.0
37,22277,2023-10-19,2024-04-18,Standard,False,30.0
38,16134,2022-04-04,2023-10-03,Basic,False,15.0
39,29762,2023-09-15,2025-03-14,Basic,False,15.0
40,19468,2023-12-31,2024-08-30,Basic,False,15.0
41,19704,2024-11-04,2025-08-03,Basic,False,15.0
42,13260,2023-03-27,2023-12-26,Standard,False,30.0
43,12450,2024-12-03,,Standard,False,30.0
44,3,2022-04-08,2023-07-07,Basic,False,15.0
45,3022,2022-12-06,2024-01-05,Premium,False,60.0
46,8325,2024-04-29,,Standard,False,30.0
47,1635,2022-01-14,2023-11-13,Basic,False,15.0
48,16240,2024-06-15,,Standard,False,30.0
49,5817,2024-09-19,,Standard,False,30.0
50,3514,2025-02-14,2025-05-13,Basic,True,15.0
51,8711,2024-11-13,,Standard,False,30.0
52,803,2025-06-11,,Basic,False,15.0
53,10289,2024-01-14,2025-01-13,Basic,False,15.0
54,2620,2024-10-20,2025-07-19,Premium,False,60.0
55,19413,2025-01-01,2025-04-30,Basic,True,15.0
56,22452,2024-06-06,,Standard,False,30.0
57,11653,2025-06-07,,Basic,True,15.0
58,7443,2023-11-08,2024-05-07,Standard,True,30.0
59,26255,2022-12-02,2023-05-01,Basic,False,15.0
60,9268,2023-01-22,2023-06-21,Basic,False,15.0
61,17927,2023-06-10,2023-12-09,Standard,False,30.0
62,19356,2024-10-12,2025-02-11,Standard,False,30.0
63,6104,2024-02-23,,Standard,False,30.0
64,8772,2025-06-11,,Basic,True,15.0
65,3014,2025-04-29,,Basic,True,15.0
66,2756,2023-10-20,2024-06-19,Standard,False,30.0
67,16912,2023-07-28,2024-07-27,Basic,True,15.0
68,9415,2025-07-23,,Basic,False,15.0
69,27493,2023-11-18,,Basic,False,15.0
70,24984,2025-08-16,,Premium,False,60.0
71,10159,2022-12-15,,Premium,False,60.0
72,16907,2025-04-19,,Standard,False,30.0
73,11942,2023-01-30,2023-07-29,Standard,False,30.0
74,21797,2024-06-17,2025-04-16,Standard,False,30.0
75,27824,2025-08-24,,Standard,True,30.0
76,23339,2024-03-17,2024-10-16,Basic,False,15.0
77,9187,2025-01-25,2025-08-24,Standard,False,30.0
78,21226,2022-12-28,2023-06-27,Standard,True,30.0
79,22842,2024-03-05,2025-04-04,Basic,False,15.0
80,4503,2023-11-01,2024-08-31,Standard,True,30.0
81,11650,2023-06-30,2024-05-29,Standard,False,30.0
82,29511,2022-04-13,2023-01-12,Standard,False,30.0
83,24580,2024-10-20,,Premium,True,60.0
84,19230,2025-07-30,,Standard,False,30.0
85,7676,2024-05-23,,Standard,True,30.0
86,8785,2022-05-07,2023-09-06,Basic,False,15.0
87,7769,2024-07-15,2025-03-14,Standard,False,30.0
88,8017,2025-08-24,,Basic,False,15.0
89,9441,2024-10-30,,Basic,False,15.0
90,1326,2023-09-02,2024-06-01,Standard,False,30.0
91,9981,2025-08-01,,Basic,False,15.0
92,8401,2025-05-14,,Standard,False,30.0
93,3950,2024-11-28,2025-04-27,Standard,False,30.0
94,7640,2025-06-07,,Standard,False,30.0
95,11208,2024-11-23,,Basic,False,15.0
96,19157,2025-07-30,,Standard,True,30.0
97,23804,2024-11-08,,Premium,False,60.0
98,23959,2022-08-17,2023-09-16,Basic,True,15.0
99,21739,2022-06-09,2023-07-08,Basic,False,15.0
100,20662,2022-12-25,2024-03-24,Premium,True,60.0
101,5067,2022-08-02,2023-08-01,Premium,True,60.0
102,29131,2024-03-05,2024-11-04,Standard,False,30.0
103,26568,2024-07-09,2024-11-08,Basic,False,15.0
104,15350,2022-07-16,2022-11-15,Standard,False,30.0
105,16181,2022-01-13,2022-05-12,Standard,False,30.0
106,11226,2024-08-22,,Standard,False,30.0
107,27384,2022-03-27,2022-11-26,Premium,False,60.0
108,16037,2024-09-22,2025-07-21,Basic,False,15.0
109,29874,2022-04-27,2022-08-26,Basic,False,15.0
110,28310,2025-07-15,,Standard,True,30.0
111,16666,2022-12-29,2023-12-28,Basic,False,15.0
112,10640,2022-04-23,2024-01-22,Premium,False,60.0
113,4755,2024-05-21,2024-09-20,Standard,False,30.0
114,5520,2024-09-24,2024-11-23,Basic,False,15.0
115,5855,2025-05-30,,Basic,True,15.0
116,26481,2025-01-22,,Basic,True,15.0
117,20605,2023-02-18,2023-11-17,Premium,False,60.0
118,29078,2022-11-01,2023-02-28,Basic,False,15.0
119,11938,2023-03-27,2025-03-26,Basic,False,15.0
120,28451,2022-12-20,2024-06-19,Standard,False,30.0
121,4885,2024-09-21,2025-03-20,Standard,False,30.0
122,29870,2024-08-24,2025-05-23,Basic,False,15.0
123,24212,2024-02-28,2024-09-27,Standard,True,30.0
124,9099,2022-04-27,2023-04-26,Premium,False,60.0
125,8343,2025-07-03,,Standard,False,30.0
126,24061,2023-05-28,2023-08-27,Basic,False,15.0
127,758,2025-01-05,2025-05-04,Standard,False,30.0
128,21899,2024-12-18,,Premium,False,60.0
129,22089,2023-03-14,2023-09-13,Basic,False,15.0
130,23809,2022-12-28,2024-04-27,Standard,False,30.0
131,13181,2024-01-21,,Basic,False,15.0
132,963,2023-06-08,2023-10-07,Standard,False,30.0
133,2973,2025-05-25,,Basic,False,15.0
134,26907,2025-05-16,,Standard,True,30.0
135,5122,2024-11-22,,Basic,False,15.0
136,9777,2022-02-07,2022-04-06,Basic,False,15.0
137,11842,2025-02-19,,Standard,True,30.0
138,2737,2024-07-03,,Basic,False,15.0
139,12689,2024-01-04,2025-06-03,Premium,True,60.0
140,15201,2023-07-21,2023-09-20,Basic,False,15.0
141,11120,2024-05-14,2025-01-13,Standard,False,30.0
142,23159,2023-01-08,,Premium,False,60.0
143,4767,2024-03-21,2024-07-20,Basic,False,15.0
144,17596,2024-06-27,,Premium,True,60.0
145,21661,2024-07-28,,Basic,False,15.0
146,20727,2023-08-30,2024-07-29,Standard,False,30.0
147,14509,2022-04-26,2023-11-25,Basic,False,15.0
148,18331,2023-08-26,,Basic,False,15.0
149,10119,2025-05-02,,Basic,False,15.0
150,2241,2024-01-24,2024-03-23,Basic,False,15.0
151,8199,2022-03-09,2022-10-08,Premium,False,60.0
152,20447,2023-06-30,2024-06-29,Standard,False,30.0
153,15423,2024-05-13,2024-09-12,Basic,False,15.0
154,13695,2023-02-16,2023-10-15,Standard,False,30.0
155,11959,2022-10-14,2023-03-13,Standard,True,30.0
156,23014,2024-03-24,2024-10-23,Premium,False,60.0
157,20430,2024-05-03,2024-09-02,Basic,True,15.0
158,21160,2023-10-22,2024-03-21,Standard,False,30.0
159,24416,2022-05-30,2022-06-29,Basic,False,15.0
160,15459,2024-10-15,2025-02-14,Standard,True,30.0
161,12580,2024-11-05,2025-03-04,Standard,False,30.0
162,421,2023-07-22,2024-11-21,Standard,False,30.0
163,23359,2022-01-16,2023-01-15,Standard,False,30.0
164,6531,2024-06-10,2025-06-09,Basic,True,15.0
165,8765,2025-07-31,,Basic,False,15.0
166,10254,2023-11-25,2024-09-24,Basic,False,15.0
167,18451,2024-08-11,2025-06-10,Standard,False,30.0
168,9782,2024-01-09,,Premium,False,60.0
169,24065,2022-12-16,2023-10-15,Basic,False,15.0
170,3053,2023-05-15,2024-05-14,Basic,False,15.0
171,21485,2025-07-12,,Basic,False,15.0
172,1701,2024-04-16,2025-01-15,Standard,False,30.0
173,13546,2022-10-14,2023-07-13,Standard,False,30.0
174,22844,2022-03-26,2022-10-25,Standard,False,30.0
175,4040,2022-04-01,2023-01-31,Basic,True,15.0
176,13296,2023-12-09,2024-09-08,Standard,False,30.0
177,13146,2022-06-17,2022-10-16,Standard,False,30.0
178,21700,2025-02-01,,Basic,False,15.0
179,15019,2023-05-18,2023-12-17,Basic,False,15.0
180,4154,2023-07-13,2024-03-12,Premium,False,60.0
181,12797,2023-05-21,2023-09-20,Standard,True,30.0
182,2436,2024-01-21,2024-10-20,Premium,False,60.0
183,27204,2025-08-23,,Premium,False,60.0
184,17414,2025-04-26,2025-05-25,Basic,False,15.0
185,24924,2022-12-09,2024-04-08,Premium,False,60.0
186,13553,2025-04-27,,Standard,False,30.0
187,6217,2024-03-30,,Premium,False,60.0
188,9038,2024-10-05,,Basic,False,15.0
