DateKey,ChannelID,Campaign,Sessions,Conversions,Spend
20220101,1,ONLINE STORE,1397,61,0.0
20220101,2,RETAIL,113,11,0.0
20220101,3,MKP_01,75,2,27.49
20220101,3,MKP_02,100,3,126.82
20220101,3,MKP_03,158,5,218.82
20220101,3,MKP_04,119,4,147.04
20220101,3,MKP_05,34,1,8.53
20220101,4,SEA_01,79,2,23.36
20220101,4,SEA_02,46,1,35.73
20220101,4,SEA_03,24,0,10.97
20220101,4,SEA_04,15,0,10.12
20220101,4,SEA_05,60,2,58.43
20220101,4,SEA_06,52,1,74.43
20220101,4,SEA_07,184,4,235.94
20220101,4,SEA_08,46,1,54.96
20220101,4,SEA_09,119,2,156.19
20220101,4,SEA_10,86,1,94.8
20220101,4,SEA_11,45,1,52.54
20220101,4,SEA_12,1,0,0.59
20220101,4,SEA_13,44,1,56.26
20220101,4,SEA_14,26,0,5.81
20220101,5,SOC_01,20,0,8.98
20220101,5,SOC_02,273,3,306.68
20220101,5,SOC_03,128,1,112.82
20220101,5,SOC_04,87,1,99.63
20220101,5,SOC_05,1,0,0.85
20220101,5,SOC_06,1,0,0.26
20220101,5,SOC_07,38,0,34.22
20220101,5,SOC_08,43,1,11.34
20220101,5,SOC_09,1,0,0.38
20220101,5,SOC_10,11,0,12.7
20220101,5,SOC_11,48,1,67.53
20220101,6,EM_01,42,1,0.0
20220101,6,EM_02,12,1,0.0
20220101,6,EM_03,16,1,0.0
20220101,6,EM_04,90,4,0.0
20220101,6,EM_05,41,2,0.0
20220101,6,EM_06,26,1,0.0
20220101,6,EM_07,73,4,0.0
20220101,7,AFF_01,8,0,7.85
20220101,7,AFF_02,9,0,7.56
20220101,7,AFF_03,27,1,34.74
20220101,7,AFF_04,31,1,22.94
20220101,7,AFF_05,110,2,93.39
20220101,7,AFF_06,4,0,6.15
20220101,7,AFF_07,14,0,15.38
20220101,7,AFF_08,17,0,3.44
20220101,7,AFF_09,3,0,3.19
20220102,1,ONLINE STORE,1340,54,0.0
20220102,2,RETAIL,103,11,0.0
20220102,3,MKP_01,14,0,10.59
20220102,3,MKP_02,26,1,27.72
20220102,3,MKP_03,266,7,106.67
20220102,3,MKP_04,10,0,10.45
20220102,3,MKP_05,22,1,11.67
20220102,4,SEA_01,2,0,1.72
20220102,4,SEA_02,7,0,2.78
20220102,4,SEA_03,75,1,15.3
20220102,4,SEA_04,12,0,16.75
20220102,4,SEA_05,12,0,6.94
20220102,4,SEA_06,7,0,3.86
20220102,4,SEA_07,34,1,11.23
20220102,4,SEA_08,297,7,313.96
20220102,4,SEA_09,102,2,141.76
20220102,4,SEA_10,15,0,12.87
20220102,4,SEA_11,93,2,105.92
20220102,4,SEA_12,21,1,13.05
20220102,4,SEA_13,167,4,257.17
20220102,4,SEA_14,188,3,56.26
20220102,5,SOC_01,10,0,2.1
20220102,5,SOC_02,18,0,14.33
20220102,5,SOC_03,129,2,150.35
20220102,5,SOC_04,22,0,29.28
20220102,5,SOC_05,37,0,40.16
20220102,5,SOC_06,24,0,19.11
20220102,5,SOC_07,52,1,28.7
20220102,5,SOC_08,160,2,164.57
20220102,5,SOC_09,118,1,27.29
20220102,5,SOC_10,127,2,167.23
20220102,5,SOC_11,26,0,11.75
20220102,6,EM_01,26,1,0.0
20220102,6,EM_02,7,0,0.0
20220102,6,EM_03,14,1,0.0
20220102,6,EM_05,111,6,0.0
20220102,6,EM_06,75,3,0.0
20220102,6,EM_07,24,1,0.0
20220102,7,AFF_01,15,0,8.24
20220102,7,AFF_02,20,0,12.55
20220102,7,AFF_03,83,2,58.69
20220102,7,AFF_04,1,0,0.6
20220102,7,AFF_05,18,0,27.27
20220102,7,AFF_06,8,0,3.82
20220102,7,AFF_07,15,0,20.06
20220102,7,AFF_08,5,0,4.05
20220102,7,AFF_09,1,0,1.14
20220103,1,ONLINE STORE,1083,30,0.0
20220103,2,RETAIL,76,11,0.0
